"brand_id","name","logo_url","description","is_active","slug","updated_at","created_at"
"1","109F","","Thương hiệu 109F được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","109f","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"2","AND","","Thương hiệu AND được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","and","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"3","Adidas","","Thương hiệu Adidas được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","adidas","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"4","Adidas Originals","","Thương hiệu Adidas Originals được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","adidas-originals","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"5","Allen","","Thương hiệu Allen được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","allen","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"6","Angry","","Thương hiệu Angry được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","angry","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"7","Arrow","","Thương hiệu Arrow được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","arrow","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"8","Asics","","Thương hiệu Asics được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","asics","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"9","Avirate","","Thương hiệu Avirate được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","avirate","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"10","Basics","","Thương hiệu Basics được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","basics","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"11","Bata","","Thương hiệu Bata được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","bata","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"12","Batman","","Thương hiệu Batman được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","batman","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"13","Belmonte","","Thương hiệu Belmonte được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","belmonte","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"14","Black Coffee","","Th??ng hi?u Black Coffee ???c chu?n h?a l?i sau khi import dataset.","True","black-coffee","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"15","Btwin","","Thương hiệu Btwin được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","btwin","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"16","Buckaroo","","Thương hiệu Buckaroo được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","buckaroo","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"17","C Vox","","Th??ng hi?u C Vox ???c chu?n h?a l?i sau khi import dataset.","True","c-vox","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"18","Calvin","","Thương hiệu Calvin được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","calvin","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"19","Carlton","","Thương hiệu Carlton được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","carlton","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"20","Catwalk","","Thương hiệu Catwalk được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","catwalk","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"21","Chimp","","Thương hiệu Chimp được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","chimp","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"22","Clarks","","Thương hiệu Clarks được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","clarks","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"23","Classic Polo","","Th??ng hi?u Classic Polo ???c chu?n h?a l?i sau khi import dataset.","True","classic-polo","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"24","Cobblerz","","Thương hiệu Cobblerz được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","cobblerz","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"25","Converse","","Thương hiệu Converse được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","converse","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"26","Coolers","","Thương hiệu Coolers được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","coolers","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"27","Crocs","","Thương hiệu Crocs được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","crocs","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"28","Decathlon","","Thương hiệu Decathlon được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","decathlon","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"29","Delhi","","Thương hiệu Delhi được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","delhi","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"30","Deni","","Thương hiệu Deni được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","deni","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"31","Denizen","","Thương hiệu Denizen được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","denizen","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"32","Disney","","Thương hiệu Disney được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","disney","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"33","Do U Speak Green","","Th??ng hi?u Do U Speak Green ???c chu?n h?a l?i sau khi import dataset.","True","do-u-speak-green","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"34","Doodle","","Thương hiệu Doodle được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","doodle","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"35","Ed Hardy","","Th??ng hi?u Ed Hardy ???c chu?n h?a l?i sau khi import dataset.","True","ed-hardy","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"36","Ediots","","Thương hiệu Ediots được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","ediots","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"37","Elle","","Thương hiệu Elle được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","elle","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"38","Enroute","","Thương hiệu Enroute được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","enroute","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"39","F Sports","","Th??ng hi?u F Sports ???c chu?n h?a l?i sau khi import dataset.","True","f-sports","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"40","FILA","","Thương hiệu FILA được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","fila","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"41","Facit","","Thương hiệu Facit được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","facit","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"42","Femella","","Thương hiệu Femella được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","femella","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"43","Flying Machine","","Thương hiệu Flying Machine được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","flying-machine","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"44","Franco","","Thương hiệu Franco được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","franco","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"45","Free Authority","","Th??ng hi?u Free Authority ???c chu?n h?a l?i sau khi import dataset.","True","free-authority","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"46","French","","Thương hiệu French được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","french","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"47","GAS","","Thương hiệu GAS được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","gas","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"48","Ganuchi","","Thương hiệu Ganuchi được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","ganuchi","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"49","Genesis","","Thương hiệu Genesis được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","genesis","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"50","Gini","","Thương hiệu Gini được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","gini","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"51","Gliders","","Thương hiệu Gliders được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","gliders","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"52","Globalite","","Thương hiệu Globalite được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","globalite","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"53","Grendha","","Thương hiệu Grendha được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","grendha","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"54","Guerrilla","","Thương hiệu Guerrilla được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","guerrilla","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"55","H&M","","Th??ng hi?u H&M ???c chu?n h?a l?i sau khi import dataset.","True","h-m","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"56","Highlander","","Thương hiệu Highlander được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","highlander","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"57","Homme","","Thương hiệu Homme được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","homme","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"58","Hush","","Thương hiệu Hush được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","hush","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"59","Inc","","Thương hiệu Inc được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","inc","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"60","Indigo","","Thương hiệu Indigo được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","indigo","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"61","Inkfruit","","Thương hiệu Inkfruit được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","inkfruit","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"62","Jack","","Thương hiệu Jack được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","jack","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"63","Jealous","","Thương hiệu Jealous được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","jealous","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"64","John","","Thương hiệu John được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","john","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"65","John Players","","Thương hiệu John Players được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","john-players","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"66","Just Natural","","Th??ng hi?u Just Natural ???c chu?n h?a l?i sau khi import dataset.","True","just-natural","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"67","Kipsta","","Thương hiệu Kipsta được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","kipsta","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"68","Kraus","","Thương hiệu Kraus được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","kraus","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"69","Latin","","Thương hiệu Latin được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","latin","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"70","Lee","","Thương hiệu Lee được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","lee","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"71","Levis","","Thương hiệu Levis được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","levis","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"72","Little Miss","","Th??ng hi?u Little Miss ???c chu?n h?a l?i sau khi import dataset.","True","little-miss","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"73","Locomotive","","Thương hiệu Locomotive được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","locomotive","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"74","Lotto","","Thương hiệu Lotto được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","lotto","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"75","Manchester","","Thương hiệu Manchester được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","manchester","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"76","Mark Taylor","","Thương hiệu Mark Taylor được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","mark-taylor","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"77","Mineral","","Thương hiệu Mineral được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","mineral","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"79","Mr.Men","","Thương hiệu Mr.Men được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","mr-men","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"81","Myntra","","Thương hiệu Myntra được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","myntra","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"82","New Balance","","Th??ng hi?u New Balance ???c chu?n h?a l?i sau khi import dataset.","True","new-balance","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"83","Newfeel","","Thương hiệu Newfeel được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","newfeel","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"84","Nike","","Thương hiệu Nike được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","nike","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"85","Numero Uno","","Thương hiệu Numero Uno được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","numero-uno","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"86","ONLY","","Thương hiệu ONLY được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","only","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"87","Palm Tree","","Th??ng hi?u Palm Tree ???c chu?n h?a l?i sau khi import dataset.","True","palm-tree","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"88","Pepe","","Thương hiệu Pepe được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","pepe","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"89","Peter","","Thương hiệu Peter được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","peter","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"90","Pink Floyd","","Th??ng hi?u Pink Floyd ???c chu?n h?a l?i sau khi import dataset.","True","pink-floyd","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"91","Playboy","","Thương hiệu Playboy được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","playboy","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"92","Portia","","Thương hiệu Portia được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","portia","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"93","Probase","","Thương hiệu Probase được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","probase","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"94","Proline","","Thương hiệu Proline được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","proline","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"95","Provogue","","Thương hiệu Provogue được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","provogue","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"96","Puma","","Thương hiệu Puma được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","puma","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"97","Quechua","","Thương hiệu Quechua được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","quechua","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"98","Quiksilver","","Thương hiệu Quiksilver được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","quiksilver","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"99","Red Chief","","Th??ng hi?u Red Chief ???c chu?n h?a l?i sau khi import dataset.","True","red-chief","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"100","Red Tape","","Thương hiệu Red Tape được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","red-tape","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"101","Reebok","","Thương hiệu Reebok được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","reebok","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"102","Reid","","Thương hiệu Reid được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","reid","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"103","Rocia","","Thương hiệu Rocia được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","rocia","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"104","Rockport","","Thương hiệu Rockport được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","rockport","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"105","Roxy","","Thương hiệu Roxy được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","roxy","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"106","Scullers","","Thương hiệu Scullers được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","scullers","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"107","Senorita","","Thương hiệu Senorita được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","senorita","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"108","Skechers","","Thương hiệu Skechers được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","skechers","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"109","Skypar","","Thương hiệu Skypar được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","skypar","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"110","Spinn","","Thương hiệu Spinn được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","spinn","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"111","Spykar","","Thương hiệu Spykar được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","spykar","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"112","Status Quo","","Th??ng hi?u Status Quo ???c chu?n h?a l?i sau khi import dataset.","True","status-quo","6/19/2026 2:48:01 PM","6/17/2026 10:37:27 AM"
"113","Stens","","Thương hiệu Stens được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","stens","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"114","Superman","","Thương hiệu Superman được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","superman","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"115","Tantra","","Thương hiệu Tantra được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","tantra","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"116","Timberland","","Thương hiệu Timberland được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","timberland","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"117","Tiptopp","","Thương hiệu Tiptopp được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","tiptopp","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"118","Tokyo","","Thương hiệu Tokyo được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","tokyo","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"119","Tonga","","Thương hiệu Tonga được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","tonga","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"120","Turtle","","Thương hiệu Turtle được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","turtle","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"121","U.S. Polo Assn.","","Thương hiệu U.S. Polo Assn. được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","u-s-polo-assn","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"122","U.S.Polo","","Thương hiệu U.S.Polo được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","u-s-polo","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"123","UCB","","Thương hiệu UCB được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","ucb","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"124","United Colors of Benetton","","Thương hiệu United Colors of Benetton được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","united-colors-of-benetton","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"125","Urban","","Thương hiệu Urban được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","urban","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"126","Vans","","Thương hiệu Vans được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","vans","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"127","Vero","","Thương hiệu Vero được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","vero","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"128","Warner","","Thương hiệu Warner được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","warner","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"129","Wildcraft","","Thương hiệu Wildcraft được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","wildcraft","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"130","Wills","","Thương hiệu Wills được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","wills","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"131","Woodland","","Thương hiệu Woodland được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","woodland","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"132","Wrangler","","Thương hiệu Wrangler được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","wrangler","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"134","iPanema","","Thương hiệu iPanema được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","ipanema","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"135","s.Oliver","","Thương hiệu s.Oliver được suy luận từ tên sản phẩm trong Fashion Product Images Dataset.","True","s-oliver","6/17/2026 10:37:27 AM","6/17/2026 10:37:27 AM"
"136","Không xác định","","Brand dùng cho sản phẩm chưa xác định được thương hiệu thật.","True","khong-xac-dinh","6/19/2026 2:48:54 PM","6/19/2026 2:48:30 PM"
